PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,FG_PCT,FT_PCT,AST,TOV
Lonnie Walker IV,BKN,58,1011.14,0.423,0.763,74,51
Luguentz Dort,OKC,79,2245.971666666667,0.438,0.826,113,74
Luka Dončić,DAL,70,2624.04,0.487,0.786,686,282
Luka Garza,MIN,25,121.84,0.48,0.72,4,6
Luka Samanic,UTA,43,404.37666666666667,0.38,0.786,19,28
Luke Kennard,MEM,39,999.0466666666666,0.448,0.889,136,54
Luke Kornet,BOS,63,983.31,0.7,0.907,67,21
Malachi Flynn,DET,69,876.9216666666666,0.418,0.732,130,63
Malaki Branham,SAS,75,1594.3266666666666,0.432,0.873,156,91
Malcolm Brogdon,POR,39,1120.8166666666666,0.44,0.819,214,60
Malcolm Cazalon,DET,1,2.583333333333333,0.0,0.0,0,0
Malik Beasley,MIL,79,2337.3716666666664,0.443,0.714,108,54
Malik Monk,SAC,72,1872.3066666666664,0.443,0.829,370,150
Malik Williams,TOR,7,106.50833333333334,0.265,0.0,2,3
Mamadi Diakite,NYK,6,24.435,0.667,0.667,2,1
Maozinha Pereira,MEM,7,121.63333333333334,0.514,0.7,2,5
MarJon Beauchamp,MIL,48,607.6883333333334,0.488,0.679,31,27
Marcus Morris Sr.,CLE,49,816.9766666666667,0.439,0.818,36,30
Marcus Sasser,DET,71,1351.11,0.428,0.879,236,90
Marcus Smart,MEM,20,604.845,0.43,0.768,86,62
Mark Williams,CHA,19,508.39166666666665,0.649,0.719,22,17
Markelle Fultz,ORL,43,909.9383333333334,0.472,0.697,120,50
Markieff Morris,DAL,26,216.3883333333333,0.338,0.833,16,12
Markquis Nowell,TOR,1,3.5166666666666666,0.0,1.0,2,0
Marques Bolden,CHA,11,121.28,0.68,0.75,4,3
Marvin Bagley III,WAS,50,1053.3516666666667,0.586,0.762,55,59
Mason Jones,SAC,5,27.683333333333334,0.25,0.5,5,2
Mason Plumlee,LAC,46,673.9266666666666,0.569,0.707,55,36
Matisse Thybulle,POR,65,1487.3833333333334,0.397,0.759,90,40
Matt Hurt,MEM,8,113.23833333333332,0.353,1.0,4,2
Matt Ryan,NOP,28,390.385,0.434,0.929,18,19
Max Christie,LAL,67,944.3183333333334,0.427,0.783,60,35
Max Strus,CLE,70,2239.175,0.418,0.794,283,112
Maxi Kleber,DAL,43,871.4116666666666,0.432,0.702,68,28
Maxwell Lewis,LAL,34,102.825,0.19,0.667,6,10
Micah Potter,UTA,16,186.06,0.475,0.75,6,5
Michael Porter Jr.,DEN,81,2564.605,0.484,0.836,122,92
Mikal Bridges,BKN,82,2854.24,0.436,0.814,299,164
Mike Conley,MIN,76,2193.458333333333,0.457,0.911,449,102
Mike Muscala,OKC,53,600.18,0.359,0.68,37,22
Miles Bridges,CHA,69,2581.116666666667,0.462,0.825,231,138
